Day fraction since midnight on ,Photometer (mg/L),Run Pump ()
0.600067659,1.00015378,1
0.600125527,1.000180364,1
0.600183389,0.999997377,1
start,,
0.600241255,1.000032544,1
0.600299123,1.000133872,1
0.600357009,1.000140667,1
0.600414887,1.00011766,1
0.600472752,1.00012672,1
0.600530605,1.000097871,1
0.600588477,1.000131726,1
0.600646347,1.000055075,1
0.600704232,1.00004375,1
0.600762101,1.000462532,1
0.600819977,29.17093658,1
0.600877828,57.29164886,1
0.60093571,42.72240448,1
0.60099359,22.61170578,1
0.601051458,9.102871895,1
0.601109328,2.569833994,1
0.601167201,1.045457482,1
0.601225069,1.011022806,1
dye out,,
