Day fraction since midnight on 	Photometer (mg/L)	Run Pump ()
0.611063034	1.012703538	1
0.611120892	1.010867953	1
0.611178766	1.009420395	1
0.611236632	1.009018302	1
dye in		
0.611294498	1.008579254	1
0.611352371	1.007478476	1
0.611410261	1.005980015	1
0.611468127	1.004960656	1
0.611525979	1.004990459	1
0.61158385	1.005226731	1
0.611641717	1.00536561	1
0.611699588	1.009098172	1
0.611757467	1.012656212	1
0.611815347	1.017405868	1
0.611873215	10.4751606	1
0.611931068	9.364233971	1
0.611988956	4.75653553	1
0.612046829	1.586764574	1
0.612104696	1.039070368	1
0.612162555	1.013391495	1
0.612220436	1.006143212	1
dye out		
