Day fraction since midnight on 	Photometer (mg/L)	Run Pump ()
0.630455688	0.997673512	1
0.630513562	0.997680306	1
0.630571437	0.997665882	1
0.630629312	0.997491002	1
Dye added (25mg/l)		
0.630687183	0.997756004	1
0.630745037	0.99802053	1
0.630802906	0.998213887	1
0.630860792	0.998087704	1
0.630918663	0.997888923	1
0.630976534	1.000838518	1
0.631034404	1.00679636	1
0.631092264	1.043057919	1
0.631150133	2.843915463	1
0.631208009	4.370919228	1
0.631265875	6.356823444	1
0.631323757	7.389361858	1
0.631381627	9.464086533	1
0.631439492	11.25046635	1
0.631497353	12.38210869	1
0.631555233	14.27192974	1
0.631613092	15.17768574	1
0.631670976	15.69510555	1
0.631728845	18.70817757	1
0.631786717	19.54383278	1
0.631844588	19.57639503	1
0.631902455	21.57484245	1
0.631960318	22.15051842	1
0.632018195	22.33980942	1
0.632076066	22.24955559	1
0.632133936	22.51670456	1
0.632191813	22.55156326	1
0.632249684	21.7290287	1
0.632307543	21.86888504	1
0.63236542	22.17736816	1
0.632423275	22.45701981	1
0.632481155	22.2196579	1
0.632539035	22.18316078	1
0.6325969	22.11064911	1
0.632654771	21.29771042	1
0.632712642	21.35271454	1
0.632770502	21.3552742	1
0.632828381	21.13490677	1
0.63288624	20.42084885	1
0.632944115	20.0909214	1
0.633001979	19.78062439	1
0.633059861	19.45118904	1
0.633117731	19.23455238	1
0.633175608	19.31216049	1
0.633233473	19.23220444	1
0.633291347	18.77420616	1
0.633349218	18.4474678	1
0.633407076	18.4503231	1
0.633464948	18.66752243	1
0.633522825	18.45890617	1
0.633580694	18.23669624	1
0.633638566	17.99341965	1
0.633696445	17.43317413	1
0.633754302	17.16122818	1
0.633812168	16.90537262	1
0.633870051	16.87622261	1
0.633927909	16.6815815	1
0.633985794	16.73672676	1
0.634043655	15.95403481	1
0.63410152	15.62301064	1
0.634159395	15.18087196	1
0.634217267	15.16783333	1
0.634275145	14.99704456	1
0.634333006	14.69063282	1
0.634390876	14.70735455	1
0.634448752	14.54594231	1
0.634506615	13.94926834	1
0.634564497	13.45067883	1
0.634622369	12.98255157	1
0.634680222	12.79514503	1
0.634738111	12.60136223	1
0.634795976	12.42372799	1
0.634853848	12.32562256	1
0.634911709	12.35778236	1
0.634969586	12.12872314	1
0.635027463	11.92262363	1
0.635085317	11.61402035	1
0.635143193	11.62602901	1
0.635201062	11.25314426	1
0.635258927	10.80667877	1
0.635316806	10.77986336	1
0.635374674	10.44348049	1
0.635432545	10.0248785	1
0.63549042	9.81612587	1
0.63554829	9.639157295	1
0.635606156	9.502826691	1
0.63566402	9.306718826	1
0.635721905	9.46105957	1
0.635779774	9.232422829	1
0.635837636	9.183121681	1
0.635895511	8.983345985	1
0.635953368	8.675626755	1
0.636011248	8.18008709	1
0.636069108	8.114524841	1
0.636126988	8.211489677	1
0.636184852	8.062386513	1
0.636242725	8.015610695	1
0.63630061	7.757007599	1
0.636358469	7.352377415	1
0.63641633	7.112317562	1
0.636474219	6.989536762	1
0.636532077	6.693258286	1
0.636589961	6.722704887	1
0.636647833	6.946666718	1
0.636705685	6.822477818	1
0.636763556	6.530189991	1
0.636821436	6.46389246	1
0.636879305	6.345197201	1
0.636937184	6.092898846	1
0.636995035	6.143898487	1
0.637052925	5.766089439	1
0.637110783	5.60201931	1
0.637168656	5.187442303	1
0.637226528	5.368688107	1
0.637284396	5.378335476	1
0.637342278	5.298931599	1
0.637400149	5.219408035	1
0.637458019	4.937313557	1
0.637515887	4.868579865	1
0.637573757	4.678212166	1
0.637631621	4.525586128	1
0.637689487	4.528179646	1
0.637747351	4.35460186	1
0.637805229	4.399078846	1
0.637863105	4.417142868	1
0.637920976	4.341458321	1
0.637978846	4.014611244	1
0.638036709	4.007827759	1
0.638094584	4.081757069	1
0.638152441	3.978735924	1
0.638210314	3.941838741	1
0.638268196	3.836023569	1
0.638326052	4.206941128	1
0.638383944	3.867638111	1
0.638441801	3.691697359	1
0.638499679	3.306420326	1
0.638557535	3.180104017	1
0.638615422	3.044054031	1
0.638673293	2.883260727	1
0.638731151	2.796327829	1
0.638789032	2.815716505	1
0.63884689	2.944722891	1
0.638904771	3.108407736	1
0.638962644	3.245259762	1
0.639020506	3.012925386	1
0.639078373	2.878688574	1
0.639136248	2.79487586	1
0.639194119	2.506002426	1
0.639251994	2.647705793	1
0.639309851	2.716288328	1
0.639367737	2.652442932	1
0.639425599	2.495765925	1
0.639483469	2.529765606	1
0.639541335	2.569153547	1
0.639599212	2.473526001	1
0.639657088	2.247478724	1
0.639714957	2.099536419	1
0.639772826	2.054675341	1
0.639830701	1.973780036	1
0.639888569	1.931188822	1
0.639946424	1.924822092	1
0.640004301	1.777643561	1
0.640062165	1.698119521	1
0.640120039	1.6618011	1
0.64017791	1.711916208	1
0.640235794	1.608291864	1
0.640293657	1.473383188	1
0.640351538	1.582250834	1
0.640409406	1.439977169	1
0.640467257	1.408385515	1
