Day fraction since midnight on 	Photometer (mg/L)	Run Pump ()
0.606433397	1.002737522	1
0.606491275	1.002731562	1
0.606549129	1.002677083	1
0.606607011	1.00194931	1
0.606664873	1.001974583	1
0.606722751	1.001713514	1
0.606780623	1.001507044	1
0.606838482	1.001603603	1
dye in		
0.606896355	1.001631975	1
0.606954223	1.001930356	1
0.607012097	1.001947045	1
0.607069975	1.001955152	1
0.607127832	1.001860499	1
0.607185703	1.002048969	1
0.607243575	1.001870394	1
0.607301451	1.001901984	1
0.607359318	1.002158523	1
0.60741719	1.002074242	1
0.607475059	65.81851196	1
0.607532927	68.2085495	1
0.607590792	57.14772415	1
0.607648663	28.63531494	1
0.60770655	10.18272018	1
0.607764407	2.545218468	1
0.607822292	1.039377213	1
0.607880153	1.009530425	1
0.60793803	1.004097939	1
0.607995888	1.003672719	1
dye out		
0.608053757	1.003494144	1
