Day fraction since midnight on ,Photometer (mg/L),Run Pump ()
0.591560713,1.558917046,1
0.591618576,1.559251905,1
0.591676459,1.559739471,1
0.591734319,1.559919119,1
0.591792186,1.5604527,1
0.591850072,1.560640454,1
0.591907923,1.561522007,1
0.591965795,1.562086821,1
0.592023672,1.566137195,1
0.592081532,1.518818736,1
0.592139404,1.551531792,1
0.592197274,1.56223917,1
0.592255151,1.651996255,1
0.592313033,1.650430203,1
0.592370889,1.659043193,1
0.592428762,1.649031878,1
0.592486624,1.651488185,1
0.592544496,4.262711048,1
0.592602379,2.27805686,1
0.592660252,2.243223667,1
0.59271811,1.91505158,1
0.59277598,1.811650038,1
0.592833857,1.85504806,1
0.592891719,2.564011097,1
0.59294959,2.592436791,1
0.593007476,2.333226442,1
0.593065334,2.212908745,1
0.5931232,2.212015629,1
0.593181074,2.189835072,1
0.593238941,2.486258745,1
0.59329681,2.358419657,1
0.593354699,2.284835577,1
0.593412571,2.316794157,1
0.593470428,2.619716883,1
0.593528302,1.01070416,1
0.593586183,0.999347389,1
0.593644046,0.999365866,1
0.593701905,0.99938345,1
0.593759792,0.999379814,1
0.593817646,0.99939245,1
0.593875518,0.999476731,1
0.593933402,0.999373972,1
0.593991259,0.999385715,1
0.594049125,0.999328911,1
0.594107021,0.999311745,1
0.59416488,0.999329805,1
start,,
0.594222753,0.999374867,1
0.594280617,0.999343753,1
0.594338491,0.99935776,1
0.594396352,0.999300063,1
0.594454238,0.999359071,1
0.594512096,0.999309063,1
0.594569975,0.999364495,1
0.594627841,0.999309063,1
0.5946857,0.999301374,1
0.594743577,1.04090023,1
0.594801452,26.51836014,1
0.594859331,68.63767242,1
0.5949172,67.1392746,1
0.594975049,50.89652252,1
0.595032932,24.27865982,1
0.595090799,8.424051285,1
0.595148675,1.840184212,1
0.595206543,1.025824189,1
0.595264404,1.006384611,1
dye is gone,,
0.595322282,1.00276041,1
