Day fraction since midnight on 	Photometer (mg/L)	Run Pump ()
0.601983452	1.000431418	1
0.602041313	1.00055635	1
0.60209918	1.000461698	1
0.602157057	1.000523806	1
0.602214923	1.000424266	1
0.602272805	1.000494123	1
dye added (25 mg/l)		
0.602330665	1.000343561	1
0.60238853	1.000365138	1
0.602446417	1.000430107	1
0.602504289	1.00042057	1
0.602562153	1.00321722	1
0.602620013	1.012922883	1
0.602677885	1.031405687	1
0.602735763	1.11463666	1
0.602793632	3.010148048	1
0.602851507	3.812467337	1
0.602909371	5.022933006	1
0.602967255	5.845934868	1
0.603025113	7.058673382	1
0.60308298	8.435446739	1
0.603140857	9.84804821	1
0.603198727	10.79910851	1
0.603256586	11.08958244	1
0.60331447	12.3593235	1
0.60337234	12.99580669	1
0.603430196	13.70884514	1
0.603488082	15.23889542	1
0.603545941	16.15351105	1
0.603603822	15.75382996	1
0.603661686	16.5656929	1
0.603719558	16.87513351	1
0.603777422	17.37952042	1
0.603835301	18.47654343	1
0.60389316	18.44565582	1
0.603951047	18.98307419	1
0.60400891	19.48883629	1
0.604066785	20.22753906	1
0.604124655	20.85486603	1
0.604182537	20.51412582	1
0.604240384	20.64228439	1
0.604298255	21.09282303	1
0.60435613	21.65857697	1
0.604414002	21.74863625	1
0.604471873	21.98327827	1
0.604529745	21.95812607	1
0.604587615	21.91890144	1
0.604645477	22.02742958	1
0.604703363	22.28528786	1
0.604761225	22.06590271	1
0.604819086	22.10214233	1
0.604876983	22.11684418	1
0.604934847	22.32492828	1
0.604992716	22.22638512	1
0.605050567	21.95895767	1
0.605108447	21.8267498	1
0.605166328	21.62815094	1
0.605224197	21.45375824	1
0.605282064	21.46809387	1
0.605339919	21.3883667	1
0.605397788	21.16393662	1
0.605455661	20.98501205	1
0.605513537	20.83165169	1
0.605571402	20.57966042	1
0.605629273	20.35982895	1
0.605687143	20.21465111	1
0.605745012	20.05856705	1
0.605802887	19.85468292	1
0.605860768	19.54582596	1
0.605918634	19.2512207	1
0.60597651	19.01166916	1
0.60603437	18.70498276	1
0.606092253	18.4629879	1
0.606150116	18.108778	1
0.606207976	17.78808975	1
0.606265857	17.83888817	1
0.606323727	17.62107277	1
0.606381589	17.42752647	1
0.606439473	17.05317307	1
0.606497328	16.75727272	1
0.606555205	16.17602348	1
0.606613069	15.93728256	1
0.606670947	15.52137089	1
0.606728816	15.59980106	1
0.606786681	15.2817049	1
0.606844569	15.3667345	1
0.60690244	15.31533623	1
0.606960302	15.15465164	1
0.607018178	14.26968288	1
0.607076047	14.10041523	1
0.60713392	14.13904572	1
0.607191781	13.78967571	1
0.607249649	13.60245609	1
0.607307529	12.94569397	1
0.607365394	12.62622738	1
0.607423265	12.50595379	1
0.60748114	12.37234592	1
0.607539011	11.82272244	1
0.607596874	11.89804173	1
0.607654743	11.76242542	1
0.607712603	11.83466244	1
0.607770491	11.68073654	1
0.607828354	11.26834869	1
0.607886225	10.93944168	1
0.607944105	10.78074646	1
0.608001972	10.64147091	1
0.608059826	10.10814476	1
0.608117697	9.745884895	1
0.608175592	9.559837341	1
0.608233454	9.043320656	1
0.608291325	8.756099701	1
0.608349181	8.78460598	1
0.608407065	8.566232681	1
0.608464933	8.427616119	1
0.608522808	8.245363236	1
0.60858068	8.048682213	1
0.608638551	7.993261814	1
0.608696414	7.966670513	1
0.608754283	7.874947071	1
0.608812148	7.491637707	1
0.60887003	7.110329628	1
0.608927881	6.870568276	1
0.608985753	6.797151566	1
0.609043633	6.58985424	1
0.609101512	6.395253182	1
0.609159376	6.546630383	1
0.60921724	6.148813248	1
0.60927512	5.986079693	1
0.609333007	5.966214657	1
0.609390845	5.937604904	1
0.609448728	5.659265041	1
0.609506589	5.384418011	1
0.609564463	5.067249298	1
0.609622337	5.107728958	1
0.609680202	5.153549194	1
0.609738083	4.98834753	1
0.60979594	4.940737724	1
0.609853807	4.581090927	1
0.609911694	4.348277092	1
0.609969553	4.401869774	1
0.610027428	4.52478981	1
0.610085296	4.543889999	1
test ended		
0.610143172	4.123926163	1
0.610201051	3.812099695	1
